,0
fender squier,-0.2826509173799174
ship_type_Flat,-0.27368414046444683
electr guitar,-0.17962636059307835
brand_SQUIER,-0.1343902646756536
ship_expedite,-0.11831827020343579
epiphon les,-0.10527380583475653
seymour duncan,0.10415263256797293
respons pleas check,0.1049624746931599
excel condit,0.10886691463327582
gibson sg,0.1119590400986494
best_offer_enabled,0.11196488130046375
mint condit,0.12183991988656703
serial number,0.12469237082895535
hard case,0.12896129816312574
telecast fender,0.13664047864070555
come origin,0.1567859761291127
gibson les,0.16060394887785245
hard shell,0.16470977600250838
hardshel case,0.1899281408020449
brand_PRS,0.22933385981200066
fender american,0.26515983525320125
listing_type_FixedPrice,0.48600415329750596
brand_FENDER,0.902034620250141
ship_type_Free,1.0055854597265645
brand_GIBSON,1.1690579263447949
country_manufacture_USA,1.183333013773694
